ID,Ethnicity,Date of Birth,Account Type,Joining date
863243,Other,12/30/2007,Platinum,2023-01-01
893948,White,9/1/2013,Gold,2023-01-01
627428,White,11/5/2018,Platinum,2023-01-02
598787,Other,9/11/1962,Basic,2023-01-02
248371,Asian,12/30/1979,Gold,2023-01-03
166090,Black,2/4/2016,Platinum,2023-01-04
248692,Black,3/10/1949,Basic,2023-01-05
433632,White,9/27/1992,Platinum,2023-01-05
522270,Black,11/21/1940,Basic,2023-01-05
549243,Black,6/7/1947,Gold,2023-01-05
560790,Other,5/25/2006,Basic,2023-01-06
637797,Asian,9/11/1956,Platinum,2023-01-06
489429,Black,11/16/2007,Platinum,2023-01-07
858519,White,1/27/2000,Gold,2023-01-07
647719,Black,7/20/2000,Gold,2023-01-08
115026,Asian,2/26/1993,Basic,2023-01-08
319351,Black,8/11/1961,Gold,2023-01-09
569494,Black,8/30/1976,Gold,2023-01-09
119971,Asian,5/21/1963,Basic,2023-01-10
125311,Black,5/1/2008,Basic,2023-01-10
540772,Black,5/15/1957,Gold,2023-01-10
221238,Other,12/28/1940,Platinum,2023-01-11
381269,Black,7/15/1983,Gold,2023-01-11
312962,White,7/12/1978,Gold,2023-01-11
587714,White,10/2/1952,Gold,2023-01-12
441581,White,7/6/2018,Gold,2023-01-12
683051,Black,7/8/1957,Basic,2023-01-13
731003,White,9/16/1941,Platinum,2023-01-13
674869,Asian,6/6/1991,Platinum,2023-01-13
580145,Asian,11/14/2015,Basic,2023-01-13
306487,Black,6/26/1970,Basic,2023-01-14
483606,Other,7/3/1941,Platinum,2023-01-14
276875,Black,8/27/1989,Gold,2023-01-14
176024,Other,12/26/1999,Gold,2023-01-14
201696,Asian,2/5/1996,Gold,2023-01-14
119237,Other,9/18/2012,Platinum,2023-01-15
933040,Asian,12/12/1991,Gold,2023-01-16
568991,White,4/27/1979,Gold,2023-01-16
888532,White,1/11/2013,Gold,2023-01-17
596604,Asian,4/29/2000,Gold,2023-01-17
596558,Black,3/22/1951,Gold,2023-01-17
611859,Other,12/2/1977,Platinum,2023-01-18
369221,Black,3/4/2019,Platinum,2023-01-18
139746,Black,2/27/1948,Gold,2023-01-19
472457,Black,1/30/1991,Gold,2023-01-19
742071,White,9/22/1968,Platinum,2023-01-19
673141,White,12/30/1955,Gold,2023-01-19
813344,White,11/4/1966,Gold,2023-01-20
733667,Black,11/15/1944,Platinum,2023-01-20
189787,Black,5/12/1986,Basic,2023-01-20
850402,Other,9/17/1991,Gold,2023-01-23
548577,White,5/9/1962,Basic,2023-01-23
102704,Black,3/9/2000,Basic,2023-01-23
591154,Black,12/1/2002,Basic,2023-01-23
785116,White,11/25/1957,Gold,2023-01-24
943375,Other,7/26/1958,Platinum,2023-01-24
467914,Asian,2/25/1990,Gold,2023-01-25
960368,Asian,9/5/1997,Platinum,2023-01-26
714800,Asian,6/25/1974,Basic,2023-01-26
554004,Asian,7/20/1997,Gold,2023-01-27
691378,Other,12/7/1979,Basic,2023-01-27
626975,Black,10/4/1948,Basic,2023-01-27
772826,White,8/29/1978,Basic,2023-01-28
806804,Other,10/5/1948,Basic,2023-01-28
957631,Black,6/19/1956,Basic,2023-01-29
806648,Other,8/20/1986,Platinum,2023-01-29
612794,Asian,11/12/1981,Basic,2023-01-29
784685,White,6/17/1968,Platinum,2023-01-29
711747,White,9/28/1940,Gold,2023-01-30
801438,Asian,6/20/1950,Basic,2023-01-31
777515,White,4/3/1989,Basic,2023-01-31
721471,Other,8/17/1985,Platinum,2023-01-31
527712,White,9/27/1996,Platinum,2023-02-01
761244,White,12/26/1942,Platinum,2023-02-01
845293,Black,5/28/1946,Platinum,2023-02-01
871764,White,10/29/1967,Gold,2023-02-01
471554,White,4/22/1990,Basic,2023-02-01
431391,Other,4/25/1980,Basic,2023-02-02
866947,Other,4/11/1949,Gold,2023-02-02
371550,Black,8/20/2004,Basic,2023-02-02
844387,Asian,1/17/1950,Basic,2023-02-02
150648,Black,6/4/1950,Basic,2023-02-02
742364,Black,9/9/1978,Gold,2023-02-02
429752,Asian,11/15/1945,Platinum,2023-02-03
856901,Other,10/21/1941,Basic,2023-02-04
656164,Asian,7/22/1956,Basic,2023-02-04
549509,White,4/13/1970,Gold,2023-02-04
285940,Black,6/3/2017,Platinum,2023-02-04
520059,Asian,1/26/1942,Gold,2023-02-05
490418,White,9/29/1950,Basic,2023-02-05
366023,Asian,1/1/1986,Basic,2023-02-05
209144,Black,11/22/1948,Basic,2023-02-05
738405,Asian,10/12/1952,Basic,2023-02-05
467421,Asian,4/12/1975,Basic,2023-02-06
116248,White,2/4/2004,Basic,2023-02-07
111490,Black,3/1/1946,Basic,2023-02-07
211683,Other,9/4/2005,Basic,2023-02-07
660049,Asian,11/21/1984,Basic,2023-02-08
222493,Asian,12/6/1941,Platinum,2023-02-08
604078,Asian,9/18/1997,Basic,2023-02-08
107924,Black,9/2/1975,Gold,2023-02-08
986393,Black,12/14/2003,Basic,2023-02-09
827538,White,12/21/1982,Gold,2023-02-09
428406,Asian,8/8/1972,Basic,2023-02-09
889441,Asian,9/23/2000,Basic,2023-02-09
940125,Black,9/22/1949,Gold,2023-02-10
801415,Asian,7/7/2010,Gold,2023-02-12
461508,Other,7/12/1996,Gold,2023-02-12
237507,Black,4/6/1944,Basic,2023-02-12
174699,Asian,3/13/1989,Gold,2023-02-12
290840,Asian,8/3/2001,Gold,2023-02-14
938610,Other,11/18/2006,Platinum,2023-02-14
737345,Other,1/27/1971,Gold,2023-02-14
667559,Other,5/16/1985,Basic,2023-02-14
645286,Other,5/7/2006,Basic,2023-02-15
993967,Asian,2/23/1951,Platinum,2023-02-15
913984,White,9/6/2008,Platinum,2023-02-15
583851,Other,2/26/2006,Gold,2023-02-16
307769,White,7/26/1981,Gold,2023-02-16
440691,White,7/2/2013,Basic,2023-02-16
905817,Other,4/24/1969,Gold,2023-02-17
995456,Other,3/5/1975,Basic,2023-02-17
533119,White,1/25/1960,Platinum,2023-02-17
712911,Other,6/5/1943,Gold,2023-02-18
624601,Other,4/20/1991,Gold,2023-02-18
303669,Black,1/3/2016,Basic,2023-02-18
535172,Asian,12/23/1964,Basic,2023-02-18
978249,Asian,7/9/1944,Platinum,2023-02-20
582245,Other,2/17/2012,Platinum,2023-02-20
473692,White,3/23/2012,Basic,2023-02-20
236432,White,10/13/1957,Basic,2023-02-20
448076,White,10/7/1995,Platinum,2023-02-20
698182,Asian,12/28/1960,Gold,2023-02-20
247253,Asian,9/26/1987,Gold,2023-02-21
523380,Asian,12/23/1994,Platinum,2023-02-21
418614,White,11/17/2013,Gold,2023-02-22
528281,Black,12/22/2009,Basic,2023-02-22
771442,White,5/7/1974,Basic,2023-02-22
149442,Other,6/10/1952,Gold,2023-02-23
863998,Asian,11/23/2006,Platinum,2023-02-24
203783,Black,7/10/1975,Platinum,2023-02-24
263796,White,2/10/1952,Gold,2023-02-24
200988,Asian,10/8/1969,Platinum,2023-02-24
978930,Asian,3/27/2016,Basic,2023-02-25
804513,Asian,5/12/1974,Gold,2023-02-25
662810,Asian,12/11/1994,Gold,2023-02-25
426503,Other,9/3/2009,Platinum,2023-02-26
188081,Other,5/29/1969,Basic,2023-02-26
128220,Other,3/22/1947,Basic,2023-02-27
313159,White,9/23/2008,Platinum,2023-02-27
900910,White,9/21/1967,Gold,2023-02-27
336949,White,12/20/1976,Platinum,2023-02-27
322646,Asian,2/24/1956,Basic,2023-02-27
430823,White,11/22/1986,Gold,2023-02-27
478020,Black,5/16/1987,Gold,2023-02-27
898177,Asian,10/13/1975,Platinum,2023-02-28
399130,Asian,7/4/1958,Basic,2023-02-28
490910,White,5/23/1981,Basic,2023-03-01
349505,White,9/13/1961,Basic,2023-03-01
754791,Other,7/17/1952,Basic,2023-03-01
867729,Black,4/24/1957,Basic,2023-03-02
639573,Other,10/7/1943,Gold,2023-03-02
982951,Black,3/6/1982,Platinum,2023-03-03
676797,Asian,11/3/1986,Gold,2023-03-03
618265,Black,5/31/1945,Basic,2023-03-03
818135,Asian,4/11/1954,Gold,2023-03-04
589251,White,6/1/1943,Platinum,2023-03-04
637023,Black,11/23/1953,Platinum,2023-03-04
775261,White,2/23/1952,Gold,2023-03-05
397269,Other,6/8/2001,Platinum,2023-03-05
488942,Other,12/2/1958,Basic,2023-03-05
349244,Asian,1/18/2007,Basic,2023-03-06
298919,Asian,7/17/2008,Platinum,2023-03-06
242782,Other,11/4/1942,Platinum,2023-03-07
766091,White,10/24/2013,Basic,2023-03-07
814161,Black,12/2/1999,Gold,2023-03-07
499227,Other,9/12/1978,Gold,2023-03-08
662004,Black,4/3/2014,Platinum,2023-03-09
152219,Black,11/18/1968,Basic,2023-03-09
551306,White,2/6/2008,Gold,2023-03-10
341542,Black,12/26/1984,Gold,2023-03-10
644707,White,7/5/1995,Platinum,2023-03-10
531040,White,7/17/1978,Gold,2023-03-11
410607,Asian,3/8/1958,Gold,2023-03-11
190312,White,1/21/2014,Gold,2023-03-11
221229,White,2/26/1965,Platinum,2023-03-13
528606,Other,12/3/2014,Basic,2023-03-13
980787,Black,2/18/1975,Platinum,2023-03-13
512194,White,4/9/1985,Gold,2023-03-13
835234,Other,6/4/1948,Basic,2023-03-13
115702,Black,2/17/1977,Platinum,2023-03-14
989180,White,9/18/1953,Gold,2023-03-14
830235,Black,8/15/1947,Gold,2023-03-14
859391,Black,4/11/1999,Platinum,2023-03-15
731691,Black,7/29/1951,Platinum,2023-03-16
606785,White,8/11/1968,Basic,2023-03-16
588390,Black,3/22/1950,Basic,2023-03-16
312371,Asian,6/28/2019,Gold,2023-03-17
845839,Black,5/29/1979,Platinum,2023-03-17
569706,Asian,5/16/2014,Gold,2023-03-18
499282,Other,6/14/2019,Platinum,2023-03-18
805034,Asian,1/10/1968,Platinum,2023-03-19
973103,Asian,3/29/1942,Platinum,2023-03-19
296100,Other,10/22/1991,Gold,2023-03-19
725355,Asian,9/22/1975,Gold,2023-03-19
963921,Black,9/8/2011,Gold,2023-03-20
527900,Black,10/11/1952,Gold,2023-03-20
638704,Other,4/6/1946,Gold,2023-03-21
487923,White,6/28/1990,Platinum,2023-03-22
621479,White,1/12/1968,Basic,2023-03-22
184141,Black,3/18/1949,Basic,2023-03-22
500741,Other,12/26/1955,Basic,2023-03-23
506007,Asian,12/1/1979,Basic,2023-03-23
664103,Black,6/29/2014,Gold,2023-03-23
287144,White,9/25/1976,Platinum,2023-03-23
762476,Other,6/3/1956,Basic,2023-03-23
255988,Asian,6/7/2017,Basic,2023-03-24
755287,Black,8/27/1997,Platinum,2023-03-24
924472,White,6/14/1972,Basic,2023-03-24
548861,Other,5/3/1962,Platinum,2023-03-24
125458,Other,6/23/1960,Basic,2023-03-25
932133,Black,9/22/1944,Basic,2023-03-25
894920,White,12/3/1979,Platinum,2023-03-25
445531,Black,11/1/1963,Gold,2023-03-25
167376,Black,6/25/2004,Basic,2023-03-26
838073,Asian,9/14/2011,Basic,2023-03-26
250381,Other,5/18/1945,Platinum,2023-03-26
513032,White,1/12/1973,Basic,2023-03-26
458285,Other,12/20/2018,Basic,2023-03-27
791978,White,10/18/1985,Basic,2023-03-28
446540,Other,7/22/1950,Basic,2023-03-28
895152,Asian,8/4/1941,Basic,2023-03-28
135265,White,2/9/1940,Platinum,2023-03-28
650842,Other,6/6/1953,Gold,2023-03-28
132163,White,8/19/2019,Basic,2023-03-29
178058,Black,1/1/1988,Gold,2023-03-29
842913,Other,4/22/1945,Gold,2023-03-29
373223,Asian,11/12/1985,Basic,2023-03-29
994016,Other,3/29/1955,Platinum,2023-03-29
264065,Other,12/8/1975,Platinum,2023-03-30
667164,Other,3/29/1977,Gold,2023-03-31
316875,Other,3/7/1992,Basic,2023-03-31
223982,White,8/12/1956,Gold,2023-04-01
604893,White,11/10/1959,Platinum,2023-04-01
311919,Other,6/26/1961,Gold,2023-04-01
920752,White,9/1/1990,Gold,2023-04-01
246208,White,9/11/1996,Platinum,2023-04-01
134738,Asian,4/21/1992,Basic,2023-04-02
413196,White,10/1/1974,Platinum,2023-04-03
530288,Black,8/24/1966,Platinum,2023-04-04
731240,Other,5/8/1951,Gold,2023-04-04
451214,White,4/13/1992,Platinum,2023-04-04
131879,Other,9/2/1952,Platinum,2023-04-05
828717,White,10/8/1978,Basic,2023-04-05
713519,White,2/25/1964,Gold,2023-04-06
918799,White,10/22/2010,Gold,2023-04-06
458440,White,7/21/1989,Gold,2023-04-06
128016,Black,10/26/1952,Platinum,2023-04-06
220423,Other,5/23/1940,Platinum,2023-04-07
425443,Black,7/17/1977,Platinum,2023-04-08
970285,Other,8/21/1988,Basic,2023-04-08
825747,Black,10/7/1958,Basic,2023-04-08
699074,Other,8/13/1972,Basic,2023-04-08
451570,Other,4/21/1974,Gold,2023-04-09
790504,White,6/13/1955,Platinum,2023-04-10
754452,Other,11/13/1955,Basic,2023-04-10
673020,Other,11/30/1979,Platinum,2023-04-10
959681,White,11/30/1945,Basic,2023-04-11
390727,Asian,10/9/1972,Basic,2023-04-11
689247,Black,11/16/1985,Gold,2023-04-11
141629,Other,3/9/1957,Basic,2023-04-11
791769,Black,11/2/1968,Gold,2023-04-11
918911,Black,3/5/1954,Gold,2023-04-11
130835,White,6/7/1984,Basic,2023-04-12
268700,White,10/5/2008,Gold,2023-04-12
548663,Asian,5/31/1949,Basic,2023-04-12
569923,Other,12/30/1975,Gold,2023-04-12
922365,Asian,8/11/2011,Basic,2023-04-13
779629,White,6/30/1993,Platinum,2023-04-13
553320,Asian,3/19/1952,Gold,2023-04-13
405909,Asian,8/27/1979,Platinum,2023-04-13
421873,Other,5/8/1969,Gold,2023-04-13
609432,Other,5/28/2009,Platinum,2023-04-13
226852,Black,2/24/2017,Platinum,2023-04-14
976803,Black,7/11/1940,Platinum,2023-04-14
189566,Other,9/8/1962,Basic,2023-04-14
101515,Black,8/11/1974,Gold,2023-04-14
701255,White,3/22/1973,Gold,2023-04-15
706102,White,6/19/1958,Platinum,2023-04-15
805246,Asian,7/20/1971,Gold,2023-04-16
991305,Other,10/30/1986,Platinum,2023-04-16
871141,Other,2/24/1944,Basic,2023-04-16
675627,Other,8/17/1968,Gold,2023-04-18
385445,Black,1/29/1957,Basic,2023-04-19
402150,Other,10/14/1970,Platinum,2023-04-19
797127,Black,6/26/1987,Platinum,2023-04-19
458824,Asian,8/3/1967,Basic,2023-04-19
372488,Other,7/13/1974,Basic,2023-04-20
669663,White,6/2/1994,Gold,2023-04-20
285157,Asian,1/16/2010,Gold,2023-04-21
984067,Black,4/9/1958,Basic,2023-04-22
467374,Black,1/3/2006,Gold,2023-04-24
385704,White,1/1/1987,Basic,2023-04-24
514864,Other,2/19/1965,Platinum,2023-04-24
604416,Other,6/29/2004,Gold,2023-04-24
302917,Other,5/3/1955,Gold,2023-04-24
663516,Other,11/7/1996,Gold,2023-04-25
104185,White,6/8/1989,Basic,2023-04-25
881176,Other,1/18/1979,Basic,2023-04-25
908478,Asian,10/5/1941,Gold,2023-04-25
748215,Black,5/1/2013,Gold,2023-04-25
528483,Black,5/3/2010,Platinum,2023-04-26
873760,White,12/31/1980,Gold,2023-04-26
327751,Asian,4/26/1984,Platinum,2023-04-27
824009,Black,3/27/1989,Platinum,2023-04-27
934663,Black,1/29/1969,Basic,2023-04-27
919470,Other,10/9/1949,Basic,2023-04-27
431328,Black,5/30/1970,Platinum,2023-04-27
984843,Asian,9/23/1958,Platinum,2023-04-28
915339,White,5/7/1997,Gold,2023-04-28
460507,White,10/28/1945,Platinum,2023-04-28
382490,Other,11/6/1997,Gold,2023-04-28
381217,White,8/5/1962,Basic,2023-04-28
552566,White,2/4/1950,Gold,2023-04-28
628443,Other,6/22/1970,Platinum,2023-04-29
506688,Asian,9/29/2015,Gold,2023-04-29
367467,Asian,1/24/2019,Platinum,2023-04-30
654694,Other,8/13/1985,Platinum,2023-04-30
314042,Asian,12/26/1986,Platinum,2023-05-01
806747,Other,5/31/2007,Basic,2023-05-01
929308,Other,10/19/2004,Basic,2023-05-01
829199,Other,1/25/1978,Basic,2023-05-01
899966,White,2/13/2015,Gold,2023-05-01
366334,Other,10/15/1996,Platinum,2023-05-02
150853,Other,7/9/1991,Basic,2023-05-02
748205,Asian,6/19/2002,Gold,2023-05-02
253467,Asian,7/29/1984,Basic,2023-05-02
393185,Black,8/11/1967,Gold,2023-05-03
638662,Black,3/4/2008,Basic,2023-05-04
284005,Asian,7/2/1992,Basic,2023-05-04
478687,White,5/13/1999,Platinum,2023-05-04
911471,White,1/11/2007,Basic,2023-05-04
742714,Black,4/4/1968,Gold,2023-05-05
189930,White,1/9/1983,Gold,2023-05-05
662171,Black,10/22/1943,Platinum,2023-05-05
683299,Asian,9/12/2000,Basic,2023-05-06
534626,White,6/25/1944,Platinum,2023-05-09
808972,Other,2/19/2006,Platinum,2023-05-09
145716,Asian,3/20/1995,Gold,2023-05-09
947646,Asian,4/14/1968,Gold,2023-05-09
439709,Other,8/21/2009,Basic,2023-05-10
405774,Asian,8/11/1993,Gold,2023-05-10
933326,Other,10/6/2010,Gold,2023-05-10
504043,Asian,4/1/1986,Basic,2023-05-11
892338,White,6/3/1961,Platinum,2023-05-11
601677,Other,1/9/1964,Basic,2023-05-11
343327,Asian,6/12/1949,Gold,2023-05-12
334199,White,5/11/2003,Gold,2023-05-12
280225,Asian,8/25/1996,Platinum,2023-05-14
930802,Asian,2/18/2018,Gold,2023-05-14
239922,Asian,10/31/1989,Basic,2023-05-15
210741,White,1/8/1985,Gold,2023-05-15
801200,Black,1/25/1979,Platinum,2023-05-15
127541,Asian,7/13/2016,Gold,2023-05-15
442783,Asian,12/18/2007,Gold,2023-05-15
979652,Black,5/23/1956,Platinum,2023-05-15
352584,Black,6/13/2000,Basic,2023-05-16
143337,Other,6/21/1980,Gold,2023-05-17
139501,Asian,1/1/1994,Basic,2023-05-17
367979,Black,9/15/1983,Basic,2023-05-18
773841,Other,3/18/1990,Platinum,2023-05-19
875629,Other,6/4/1950,Basic,2023-05-20
636423,Asian,7/4/1983,Platinum,2023-05-20
100185,Asian,7/29/1952,Basic,2023-05-20
525493,Other,3/28/1976,Platinum,2023-05-21
747682,Black,12/4/1985,Platinum,2023-05-21
296948,Black,12/10/1986,Platinum,2023-05-21
512509,White,4/16/1991,Gold,2023-05-22
843274,Other,8/11/1941,Basic,2023-05-22
366251,Other,8/28/1963,Gold,2023-05-22
222860,Black,2/11/2012,Basic,2023-05-23
546645,Asian,9/6/1971,Gold,2023-05-24
426552,White,9/13/1995,Gold,2023-05-24
597131,White,5/17/1954,Gold,2023-05-24
569694,Black,11/7/2018,Platinum,2023-05-24
730864,Other,4/26/2015,Gold,2023-05-24
682562,Black,4/16/1984,Basic,2023-05-25
509391,Other,11/6/1947,Platinum,2023-05-27
659716,Black,11/9/2008,Platinum,2023-05-27
444025,Black,4/8/1997,Platinum,2023-05-28
838883,White,12/10/1980,Basic,2023-05-29
293145,Black,8/7/1989,Gold,2023-05-29
631634,Asian,1/1/1940,Basic,2023-05-29
586258,Black,12/12/2018,Platinum,2023-05-30
633141,White,5/20/1943,Basic,2023-05-30
723823,White,5/17/2005,Basic,2023-05-31
637483,White,8/21/2009,Basic,2023-05-31
884949,Asian,12/3/1943,Gold,2023-05-31
809513,Black,1/1/1951,Basic,2023-06-01
840464,Asian,7/18/1968,Gold,2023-06-01
988008,Asian,7/9/1971,Gold,2023-06-02
664634,Black,3/5/1952,Basic,2023-06-02
287391,Other,11/25/1954,Platinum,2023-06-02
239484,Other,5/1/1999,Gold,2023-06-02
394262,Other,8/29/1961,Basic,2023-06-04
192505,White,10/15/1966,Platinum,2023-06-04
340059,White,1/24/2004,Basic,2023-06-04
687501,Black,8/21/1976,Platinum,2023-06-04
985783,Asian,3/28/1951,Basic,2023-06-05
459563,Black,3/15/1963,Gold,2023-06-06
245830,Asian,9/2/1972,Basic,2023-06-07
201221,Black,11/10/1941,Gold,2023-06-08
896280,Other,9/24/1996,Basic,2023-06-08
618456,Asian,3/13/2009,Basic,2023-06-08
974075,White,3/24/1982,Basic,2023-06-09
734567,Black,1/22/1976,Basic,2023-06-09
228727,Other,3/29/1964,Platinum,2023-06-09
251536,Asian,5/14/1957,Basic,2023-06-10
804299,Other,11/4/1957,Gold,2023-06-10
879093,Black,9/21/1968,Gold,2023-06-11
595254,Other,5/6/1942,Platinum,2023-06-11
753388,Asian,5/16/1952,Platinum,2023-06-11
704040,Asian,8/1/1993,Basic,2023-06-12
983034,Asian,11/13/1972,Platinum,2023-06-12
926550,Asian,10/31/1942,Basic,2023-06-12
376499,Asian,1/27/1969,Platinum,2023-06-12
492316,Other,5/28/1964,Platinum,2023-06-13
510071,Other,10/10/1992,Platinum,2023-06-13
768053,White,1/17/1998,Gold,2023-06-14
569939,Black,12/11/2015,Gold,2023-06-15
687384,Asian,4/2/1963,Basic,2023-06-15
865336,Other,11/27/1969,Gold,2023-06-15
890532,White,4/15/1988,Gold,2023-06-16
994289,White,5/9/1990,Gold,2023-06-16
654273,Black,10/10/1942,Gold,2023-06-16
900289,Other,1/29/1987,Basic,2023-06-16
847929,Asian,10/14/1951,Basic,2023-06-16
589567,Black,5/10/1961,Platinum,2023-06-17
466954,Black,3/5/1955,Basic,2023-06-17
621556,White,12/12/2010,Basic,2023-06-18
120476,Other,5/27/1976,Platinum,2023-06-18
149481,Asian,6/26/1959,Basic,2023-06-18
202946,Black,9/16/1960,Gold,2023-06-18
466462,Black,5/8/1942,Platinum,2023-06-19
302454,Asian,7/25/2018,Platinum,2023-06-19
467340,White,9/4/1984,Platinum,2023-06-19
539530,Other,3/2/1983,Basic,2023-06-20
564633,Black,6/1/2011,Gold,2023-06-20
717206,Black,6/19/1963,Platinum,2023-06-21
881325,Other,7/11/1981,Basic,2023-06-21
214055,Asian,12/4/1976,Basic,2023-06-21
628497,Asian,10/26/2005,Platinum,2023-06-21
785906,Asian,6/20/1967,Basic,2023-06-22
949894,Asian,12/21/1946,Gold,2023-06-22
868733,Asian,2/17/1967,Basic,2023-06-22
311336,Black,11/12/2018,Platinum,2023-06-22
314997,Other,7/31/2001,Gold,2023-06-23
725200,Asian,3/26/1952,Basic,2023-06-23
325644,White,3/20/1995,Basic,2023-06-24
436308,White,10/3/1959,Basic,2023-06-24
560440,Asian,5/30/1979,Basic,2023-06-24
304982,Other,4/8/1979,Platinum,2023-06-25
603071,Other,5/7/1969,Basic,2023-06-25
338686,White,12/17/1979,Gold,2023-06-25
343987,Other,7/31/2010,Gold,2023-06-25
503844,Asian,10/2/1981,Basic,2023-06-25
809555,Other,5/7/1952,Basic,2023-06-26
970794,Asian,11/1/1969,Platinum,2023-06-26
345349,Black,2/22/2013,Basic,2023-06-26
729571,Black,8/1/2004,Platinum,2023-06-26
925655,Asian,12/26/2017,Gold,2023-06-26
667852,Black,3/28/1947,Basic,2023-06-27
234458,White,5/29/2010,Basic,2023-06-27
339084,Asian,10/6/1963,Platinum,2023-06-27
223660,White,10/20/1986,Gold,2023-06-28
957074,Other,9/18/1964,Gold,2023-06-28
336329,White,1/23/1947,Platinum,2023-06-28
791553,White,9/24/1982,Gold,2023-06-28
221128,Black,8/16/1978,Basic,2023-06-29
601428,White,12/23/1980,Platinum,2023-06-29
131132,White,8/6/1949,Platinum,2023-06-29
460383,Black,8/16/1994,Basic,2023-06-29
993112,Asian,10/2/1942,Platinum,2023-06-30
549280,Black,12/3/1971,Platinum,2023-06-30
700604,White,8/24/1969,Gold,2023-06-30
561709,Asian,11/23/1959,Basic,2023-06-30
862571,Black,3/10/1962,Gold,2023-07-02
126580,Black,7/17/1945,Platinum,2023-07-02
714124,Other,12/24/1986,Platinum,2023-07-03
594866,White,8/19/2004,Gold,2023-07-04
261620,Black,7/30/1990,Gold,2023-07-05
319191,Other,12/16/2010,Platinum,2023-07-05
878515,Other,7/21/1989,Gold,2023-07-05
571041,Other,4/16/1947,Basic,2023-07-06
