ID,Ethnicity,Date of Birth,Account Type,Joining date
830903,Other,3/3/1994,Gold,2023-07-06
681753,Black,9/1/2019,Basic,2023-07-07
890720,White,9/20/1967,Gold,2023-07-07
656301,Asian,1/31/1994,Gold,2023-07-07
973817,Black,7/26/1990,Gold,2023-07-08
931023,Black,3/5/1985,Platinum,2023-07-09
682556,Black,9/30/1966,Gold,2023-07-10
293767,Asian,1/16/2018,Platinum,2023-07-10
889600,Asian,6/2/1946,Gold,2023-07-10
900970,Asian,2/27/1985,Basic,2023-07-10
129983,Asian,4/12/2001,Basic,2023-07-11
279177,White,2/26/1967,Basic,2023-07-11
968967,Asian,12/24/1992,Gold,2023-07-12
511565,Black,3/17/1995,Platinum,2023-07-12
306981,Other,1/27/1983,Basic,2023-07-12
226854,White,8/3/1988,Gold,2023-07-12
960910,Black,12/16/1997,Basic,2023-07-13
704346,Other,11/4/1978,Gold,2023-07-13
306535,Asian,12/23/1977,Basic,2023-07-13
788351,White,5/7/1985,Platinum,2023-07-14
428393,Black,5/12/2008,Basic,2023-07-14
751597,White,12/25/1966,Basic,2023-07-14
465769,White,2/10/1979,Platinum,2023-07-14
990258,Black,12/3/1998,Gold,2023-07-16
424911,Asian,3/21/1947,Platinum,2023-07-16
593940,Black,3/18/1981,Gold,2023-07-16
466664,Asian,5/14/1981,Basic,2023-07-16
212881,Black,3/19/2002,Platinum,2023-07-16
494955,Other,7/2/1985,Platinum,2023-07-17
822881,Other,3/26/2012,Gold,2023-07-17
516450,Black,1/12/1986,Gold,2023-07-17
619806,Asian,2/11/1974,Platinum,2023-07-17
993957,Asian,3/7/1944,Platinum,2023-07-17
760048,Black,4/17/2011,Basic,2023-07-17
124765,Black,10/15/1965,Basic,2023-07-17
914893,White,1/3/1969,Basic,2023-07-18
783242,Other,2/12/1952,Basic,2023-07-18
228463,Other,11/20/2011,Gold,2023-07-19
854139,Other,7/12/1978,Platinum,2023-07-19
112430,White,12/8/1948,Basic,2023-07-19
481921,Asian,5/5/1970,Gold,2023-07-19
114484,Black,1/19/1987,Basic,2023-07-20
798734,Black,11/5/1957,Gold,2023-07-20
751067,Black,9/6/2000,Platinum,2023-07-20
142608,Black,8/16/1994,Gold,2023-07-21
415942,Asian,9/16/1947,Basic,2023-07-22
316468,Asian,9/22/1963,Gold,2023-07-23
754172,White,7/21/2011,Basic,2023-07-24
217393,Asian,10/29/1947,Platinum,2023-07-24
792923,White,10/16/1958,Basic,2023-07-25
210727,White,4/6/1968,Platinum,2023-07-25
703312,Other,12/18/2012,Gold,2023-07-25
543731,Asian,5/18/1989,Gold,2023-07-25
489883,Asian,11/21/1972,Basic,2023-07-26
591539,White,11/7/1986,Basic,2023-07-26
419675,Black,6/19/1965,Gold,2023-07-27
739156,White,10/20/1976,Platinum,2023-07-27
306044,Asian,5/13/1993,Platinum,2023-07-28
572462,Black,5/29/1965,Platinum,2023-07-29
115578,Black,9/2/1961,Gold,2023-07-29
759212,White,10/6/2017,Platinum,2023-07-29
344841,White,12/9/2002,Basic,2023-07-30
964885,Asian,1/5/1990,Basic,2023-07-31
879426,Other,9/28/1996,Gold,2023-07-31
543545,Asian,8/30/1986,Basic,2023-08-01
890043,White,5/24/2010,Basic,2023-08-02
633342,Asian,3/25/1972,Basic,2023-08-02
429112,Black,11/20/1993,Basic,2023-08-02
606864,Other,10/5/1945,Platinum,2023-08-02
571428,Black,6/23/1965,Platinum,2023-08-03
771144,Asian,10/21/1962,Basic,2023-08-04
287844,Other,2/15/1952,Basic,2023-08-04
954550,Black,1/23/1953,Gold,2023-08-04
134047,Black,4/6/1959,Basic,2023-08-04
255005,White,1/4/1941,Basic,2023-08-04
484119,Other,9/30/1974,Gold,2023-08-04
867196,Other,6/18/1953,Basic,2023-08-04
497082,Other,1/3/1969,Platinum,2023-08-05
979311,White,12/8/2010,Platinum,2023-08-06
202785,Black,9/11/1948,Platinum,2023-08-06
610633,Black,7/13/1993,Gold,2023-08-06
496679,Black,10/19/1951,Basic,2023-08-06
849187,Other,10/27/1951,Platinum,2023-08-07
970978,White,1/28/1945,Platinum,2023-08-07
597729,Other,2/7/1958,Basic,2023-08-07
162027,Other,3/15/1992,Gold,2023-08-08
642548,Black,6/1/2017,Gold,2023-08-08
212028,White,2/19/2008,Basic,2023-08-09
166124,Black,5/31/1966,Gold,2023-08-09
228495,Other,4/7/2006,Basic,2023-08-09
803346,Other,9/17/2015,Gold,2023-08-10
401721,Other,12/15/1955,Platinum,2023-08-10
848661,Black,12/2/1957,Platinum,2023-08-10
950849,Black,7/30/1990,Gold,2023-08-11
785851,Other,6/12/1981,Basic,2023-08-11
745654,Other,11/25/1996,Gold,2023-08-12
147410,White,10/2/2008,Platinum,2023-08-12
285333,Other,3/22/1948,Gold,2023-08-12
759970,White,8/22/1969,Gold,2023-08-12
480246,Asian,4/13/1982,Platinum,2023-08-12
853101,Other,4/13/1984,Basic,2023-08-12
663205,Black,3/30/1981,Platinum,2023-08-12
878212,White,3/1/1957,Basic,2023-08-12
121769,Asian,12/31/1948,Gold,2023-08-13
202400,White,6/28/1962,Basic,2023-08-13
485343,Other,6/21/1945,Gold,2023-08-14
121392,Black,4/6/1980,Gold,2023-08-15
716137,Other,1/6/1987,Basic,2023-08-15
527503,White,1/8/1967,Gold,2023-08-15
478868,Other,10/27/1958,Gold,2023-08-15
333873,Black,8/31/1994,Platinum,2023-08-16
472221,White,10/12/1994,Platinum,2023-08-17
201146,Black,7/1/1976,Basic,2023-08-17
938419,White,10/4/2003,Basic,2023-08-17
168221,Other,2/26/2003,Gold,2023-08-17
124463,Other,5/12/1943,Basic,2023-08-18
883835,Asian,11/18/1987,Gold,2023-08-18
894124,Asian,10/20/1981,Gold,2023-08-18
732882,White,6/15/1950,Platinum,2023-08-18
786474,Other,4/5/1992,Gold,2023-08-19
720947,Other,11/17/1997,Basic,2023-08-19
593067,Black,10/1/2019,Gold,2023-08-20
422091,Asian,3/9/2001,Gold,2023-08-20
813986,Other,5/2/1979,Gold,2023-08-20
940236,White,12/28/1957,Platinum,2023-08-20
332370,White,10/26/2002,Basic,2023-08-21
853490,Black,8/18/2011,Basic,2023-08-21
497542,White,5/19/2005,Gold,2023-08-22
398707,Black,5/3/2012,Gold,2023-08-22
692114,Asian,9/10/1973,Platinum,2023-08-22
610368,Other,7/15/1965,Basic,2023-08-22
982613,White,5/29/1949,Platinum,2023-08-23
850145,Other,4/4/2019,Gold,2023-08-23
488809,Black,7/24/2004,Platinum,2023-08-23
630270,Other,1/26/1964,Platinum,2023-08-23
253699,Other,12/31/1954,Gold,2023-08-23
146884,Black,5/19/1961,Basic,2023-08-24
340036,Other,10/16/1952,Gold,2023-08-25
374944,Black,3/20/1965,Basic,2023-08-25
435115,Other,2/7/2012,Basic,2023-08-26
534142,Black,11/9/1954,Gold,2023-08-26
378506,Other,7/8/1968,Basic,2023-08-26
465564,Asian,8/12/2015,Platinum,2023-08-26
673773,White,9/22/1951,Gold,2023-08-26
127539,Other,10/2/2001,Platinum,2023-08-27
911428,Black,5/4/2005,Gold,2023-08-27
166958,Black,5/2/1947,Platinum,2023-08-27
402835,Other,5/25/1941,Platinum,2023-08-27
312324,White,8/13/2016,Gold,2023-08-28
793732,Asian,5/19/1986,Platinum,2023-08-28
698848,White,5/8/1970,Platinum,2023-08-28
103488,Other,9/26/1957,Basic,2023-08-28
151356,Asian,2/11/2013,Basic,2023-08-28
269274,White,1/8/2000,Platinum,2023-08-28
935038,Black,1/24/2007,Platinum,2023-08-28
101744,Asian,1/21/1945,Basic,2023-08-29
900582,Asian,12/9/1963,Gold,2023-08-29
414182,White,1/24/1973,Gold,2023-08-30
697757,Other,2/3/1989,Gold,2023-08-30
620952,White,9/5/1979,Platinum,2023-08-30
549892,Asian,7/5/1959,Gold,2023-08-30
256547,Black,8/21/2013,Gold,2023-08-30
951213,Asian,8/29/1982,Basic,2023-08-31
268478,Black,6/14/1952,Gold,2023-08-31
488622,Black,2/19/1945,Gold,2023-08-31
350315,Black,4/11/2014,Gold,2023-08-31
602662,Other,3/7/1958,Basic,2023-09-01
191607,White,3/15/1963,Gold,2023-09-01
305931,Other,10/1/2011,Platinum,2023-09-02
141574,Other,12/18/2012,Platinum,2023-09-02
940601,Other,8/4/2011,Platinum,2023-09-02
315439,White,5/23/1999,Basic,2023-09-02
595739,White,6/18/1997,Platinum,2023-09-04
339687,White,11/29/1946,Basic,2023-09-04
282672,Black,7/20/1991,Platinum,2023-09-04
184178,Asian,10/29/1958,Basic,2023-09-04
347274,Black,6/17/1993,Basic,2023-09-04
514214,Other,7/9/1941,Platinum,2023-09-05
159526,Asian,12/22/1986,Basic,2023-09-05
215044,White,9/11/2011,Basic,2023-09-05
610159,Black,12/5/2005,Gold,2023-09-05
112311,Other,8/11/1990,Gold,2023-09-05
907496,Asian,12/22/2002,Platinum,2023-09-06
202010,Black,11/23/1988,Gold,2023-09-06
814220,Other,4/21/1942,Basic,2023-09-06
158161,White,10/15/2014,Basic,2023-09-07
557275,Other,9/9/1999,Platinum,2023-09-08
273251,Asian,3/23/1963,Basic,2023-09-08
155384,Asian,7/4/1992,Platinum,2023-09-09
960401,Black,2/26/1991,Gold,2023-09-09
567696,Black,9/17/1943,Gold,2023-09-09
188536,Other,12/25/1946,Basic,2023-09-09
725517,White,11/29/1943,Basic,2023-09-09
314233,Asian,12/16/2018,Platinum,2023-09-09
942724,Black,5/23/1979,Platinum,2023-09-10
485637,White,10/20/2001,Basic,2023-09-10
874417,Other,8/12/1985,Platinum,2023-09-11
428431,Other,4/27/1993,Basic,2023-09-12
528074,Other,5/26/2013,Gold,2023-09-13
445532,Black,10/8/1972,Basic,2023-09-13
325886,Asian,5/19/1941,Gold,2023-09-14
319379,Other,5/6/1974,Gold,2023-09-15
213378,Black,7/3/1987,Basic,2023-09-15
660162,White,12/2/2001,Platinum,2023-09-16
382180,Other,12/14/1975,Platinum,2023-09-16
796180,Other,3/10/1944,Basic,2023-09-16
339282,Other,10/31/1968,Basic,2023-09-16
442375,White,6/15/1985,Platinum,2023-09-16
148755,White,10/21/1970,Platinum,2023-09-17
232704,Black,10/20/1956,Gold,2023-09-17
719232,White,3/6/1983,Platinum,2023-09-17
375840,Asian,3/8/1963,Gold,2023-09-17
252873,Other,2/17/1946,Basic,2023-09-17
661243,Other,11/17/2011,Gold,2023-09-17
163670,White,9/7/1970,Platinum,2023-09-17
901811,White,8/28/1968,Basic,2023-09-18
997703,Other,1/7/1998,Platinum,2023-09-19
598899,Black,1/10/1999,Basic,2023-09-19
497693,Other,3/14/1970,Platinum,2023-09-19
307727,Other,1/6/1972,Basic,2023-09-20
356495,White,2/2/1981,Platinum,2023-09-20
720200,Other,12/24/1996,Basic,2023-09-21
207622,White,12/29/1959,Platinum,2023-09-22
546446,White,3/31/1973,Basic,2023-09-23
391064,Other,9/7/1959,Gold,2023-09-23
158323,White,5/7/1973,Platinum,2023-09-24
861502,Other,5/7/1981,Basic,2023-09-24
512357,White,11/19/2009,Basic,2023-09-25
701002,White,3/2/1989,Gold,2023-09-25
159537,Asian,7/30/2012,Gold,2023-09-26
909727,Asian,1/20/2011,Gold,2023-09-26
892110,Asian,5/27/1955,Gold,2023-09-27
383716,Asian,6/22/2000,Platinum,2023-09-27
826580,Black,9/6/1975,Gold,2023-09-28
272178,White,3/3/1985,Gold,2023-09-28
368497,Other,7/29/1991,Basic,2023-09-28
611755,Other,2/11/1949,Platinum,2023-09-28
801185,Other,3/17/1975,Basic,2023-09-29
314876,Asian,2/13/2013,Basic,2023-09-29
921939,Other,2/5/1963,Gold,2023-09-29
159759,Black,4/29/1993,Gold,2023-09-29
861565,Black,5/19/1996,Basic,2023-09-30
113596,Black,11/19/2005,Basic,2023-09-30
939708,White,4/1/1971,Basic,2023-09-30
222775,White,11/30/1960,Basic,2023-09-30
385540,White,2/1/1943,Gold,2023-09-30
625210,Other,12/23/1995,Gold,2023-09-30
174968,Other,9/30/1980,Platinum,2023-10-01
491519,Asian,4/4/1955,Gold,2023-10-01
716354,Black,12/18/1997,Gold,2023-10-01
994611,Black,6/19/1994,Basic,2023-10-01
427577,Asian,1/6/1971,Basic,2023-10-01
828504,Other,9/21/2013,Basic,2023-10-02
375824,Other,7/5/1978,Platinum,2023-10-02
747974,Asian,8/14/1966,Gold,2023-10-02
664810,Black,7/2/1947,Gold,2023-10-03
535509,Other,9/11/2019,Platinum,2023-10-03
344685,Asian,1/6/1990,Gold,2023-10-03
700950,Black,6/18/1940,Basic,2023-10-03
656794,Other,10/21/1951,Basic,2023-10-04
614858,Other,3/24/1977,Basic,2023-10-04
130206,Asian,3/19/1972,Gold,2023-10-04
177977,Asian,4/2/1957,Basic,2023-10-05
459470,Black,9/13/1987,Platinum,2023-10-05
942174,White,6/11/1984,Gold,2023-10-05
199260,Other,1/31/1992,Basic,2023-10-05
451936,Asian,10/22/1958,Basic,2023-10-06
369873,Black,9/8/1972,Gold,2023-10-06
731015,Other,12/2/1955,Basic,2023-10-06
514489,Black,5/3/2005,Basic,2023-10-07
881809,White,10/29/1961,Basic,2023-10-08
239999,Black,9/7/1988,Platinum,2023-10-08
717582,Other,8/5/1950,Basic,2023-10-08
350952,Black,5/14/1997,Basic,2023-10-09
652834,Black,11/19/1982,Gold,2023-10-09
175875,Asian,11/19/1970,Gold,2023-10-10
973755,Black,1/12/1998,Platinum,2023-10-10
234964,Other,9/14/1962,Platinum,2023-10-10
141861,Other,6/13/2005,Gold,2023-10-12
232108,Asian,1/24/2009,Gold,2023-10-12
206041,White,10/18/2010,Gold,2023-10-13
261886,Asian,5/23/1974,Basic,2023-10-13
346957,Asian,12/29/1990,Platinum,2023-10-14
963545,White,12/19/2001,Basic,2023-10-15
259388,Black,8/29/1984,Platinum,2023-10-15
677472,Black,1/18/1996,Gold,2023-10-16
832494,White,6/23/1964,Gold,2023-10-16
194394,Asian,6/18/1991,Gold,2023-10-16
285733,Black,5/19/2000,Gold,2023-10-16
503279,White,4/13/1967,Gold,2023-10-17
494925,Asian,11/29/1957,Platinum,2023-10-17
435013,Black,9/1/1998,Basic,2023-10-18
848472,Other,10/20/2009,Gold,2023-10-18
172511,Other,7/11/1945,Gold,2023-10-18
851016,White,1/18/2010,Platinum,2023-10-18
762634,White,1/14/1980,Platinum,2023-10-19
971397,Other,10/21/1970,Platinum,2023-10-20
415762,Black,11/3/1949,Basic,2023-10-20
229517,Asian,5/26/1969,Platinum,2023-10-20
238622,Asian,10/27/1995,Gold,2023-10-20
577581,White,6/22/1960,Platinum,2023-10-22
559179,Other,2/18/1979,Basic,2023-10-22
762315,White,1/26/1940,Gold,2023-10-22
701647,Other,4/27/1954,Platinum,2023-10-22
182986,Other,1/1/2006,Basic,2023-10-23
167545,White,3/15/1987,Platinum,2023-10-23
625189,Other,7/19/1985,Gold,2023-10-24
189309,Other,1/29/1985,Platinum,2023-10-24
701314,White,3/27/1981,Platinum,2023-10-24
562722,Asian,8/9/2007,Platinum,2023-10-25
371271,Other,8/28/2001,Basic,2023-10-25
703596,White,6/6/1948,Platinum,2023-10-26
693419,Black,2/27/1950,Gold,2023-10-26
165263,Other,10/15/1970,Platinum,2023-10-26
142674,Other,9/2/1987,Basic,2023-10-27
511264,Other,7/7/1957,Platinum,2023-10-27
388013,Black,7/13/2018,Gold,2023-10-27
802490,Other,5/13/1970,Basic,2023-10-27
423343,White,7/25/1947,Basic,2023-10-27
593905,Black,12/5/1961,Basic,2023-10-27
639158,White,9/29/1989,Platinum,2023-10-28
918029,Black,11/21/1969,Gold,2023-10-28
158058,Other,2/7/1955,Platinum,2023-10-28
491387,Asian,11/4/2001,Platinum,2023-10-28
293881,Black,3/10/1963,Basic,2023-10-29
507932,Asian,8/15/2005,Platinum,2023-10-29
825555,Asian,11/10/2019,Platinum,2023-10-29
213994,White,4/16/1961,Gold,2023-10-29
202437,Other,12/30/1976,Platinum,2023-10-29
217539,White,7/3/1954,Basic,2023-10-29
920547,Asian,12/28/1943,Basic,2023-10-29
423637,Other,1/30/1941,Basic,2023-10-30
759289,Asian,8/9/1965,Platinum,2023-10-30
937520,Other,2/8/1964,Gold,2023-10-30
352431,Asian,12/2/1970,Basic,2023-10-31
897320,White,4/13/1978,Basic,2023-10-31
917106,Asian,10/16/1942,Platinum,2023-10-31
919938,White,12/6/1995,Gold,2023-10-31
888481,Other,10/14/2017,Basic,2023-11-01
806735,Asian,4/15/1945,Platinum,2023-11-01
177159,White,11/10/1953,Basic,2023-11-01
547679,White,2/7/1949,Basic,2023-11-01
435231,Black,1/2/2012,Gold,2023-11-02
436544,Black,4/10/2013,Basic,2023-11-02
829902,Other,4/14/1968,Platinum,2023-11-02
698434,Black,12/23/1946,Basic,2023-11-03
415677,Black,3/31/2008,Basic,2023-11-03
582577,Black,1/24/1999,Gold,2023-11-03
982585,Black,2/7/2016,Gold,2023-11-04
727292,Black,1/13/1984,Gold,2023-11-04
499108,White,11/21/1949,Platinum,2023-11-04
300208,White,4/3/2008,Gold,2023-11-05
850891,Black,4/14/1941,Basic,2023-11-06
649840,Asian,2/28/1947,Basic,2023-11-06
430898,Other,5/4/1947,Basic,2023-11-06
397552,Other,10/31/1941,Gold,2023-11-06
182216,Other,2/13/1979,Platinum,2023-11-06
563716,Asian,2/3/1989,Platinum,2023-11-07
656037,White,8/17/1961,Platinum,2023-11-07
150324,White,6/13/2017,Gold,2023-11-08
740085,Other,10/8/2002,Platinum,2023-11-09
274486,White,4/11/2010,Gold,2023-11-09
169924,White,10/20/1977,Platinum,2023-11-09
897163,Other,10/5/1986,Platinum,2023-11-10
326497,Black,4/24/2013,Basic,2023-11-10
691430,Black,4/25/1988,Platinum,2023-11-10
494788,Black,5/5/1968,Gold,2023-11-11
335173,White,1/28/1942,Gold,2023-11-11
536823,Black,6/17/1985,Gold,2023-11-12
112161,Asian,6/27/1967,Platinum,2023-11-13
713378,Black,9/28/1977,Basic,2023-11-13
963473,White,10/1/2014,Platinum,2023-11-13
168605,Black,9/26/1983,Basic,2023-11-14
848904,White,1/6/1962,Basic,2023-11-14
753670,Black,12/4/1991,Basic,2023-11-14
235138,Asian,4/23/1967,Platinum,2023-11-15
952333,Other,3/5/2000,Gold,2023-11-15
512023,Black,4/5/1957,Gold,2023-11-16
761978,Asian,11/4/1991,Gold,2023-11-17
755822,Black,7/4/1942,Gold,2023-11-19
664737,Black,7/7/2000,Gold,2023-11-19
774922,Black,8/14/2011,Gold,2023-11-19
748491,Asian,12/7/1957,Platinum,2023-11-20
260096,Black,1/10/1955,Basic,2023-11-20
829132,Other,5/19/1991,Gold,2023-11-20
271529,Asian,7/10/2012,Platinum,2023-11-21
701108,White,10/29/1975,Basic,2023-11-21
694902,Asian,3/30/2001,Basic,2023-11-21
697830,White,11/14/1948,Gold,2023-11-21
140062,Black,6/7/2012,Platinum,2023-11-22
824746,Black,11/29/1984,Platinum,2023-11-23
145928,Other,8/16/1941,Basic,2023-11-23
345518,Black,12/22/1994,Platinum,2023-11-23
450210,Other,8/24/2018,Basic,2023-11-24
575378,White,4/7/1974,Platinum,2023-11-24
983346,Asian,8/19/1951,Basic,2023-11-24
939786,Other,6/16/1997,Gold,2023-11-25
949651,Other,9/13/1940,Platinum,2023-11-25
838906,White,6/1/1976,Gold,2023-11-26
784400,Asian,12/10/2002,Gold,2023-11-26
311054,Black,11/21/1956,Gold,2023-11-26
720946,White,6/7/1984,Basic,2023-11-26
808528,White,4/5/1992,Gold,2023-11-26
224213,Other,1/17/1992,Platinum,2023-11-27
669652,Other,5/28/2009,Platinum,2023-11-28
176117,Asian,4/19/1966,Gold,2023-11-28
271596,White,9/10/2000,Gold,2023-11-30
943346,Other,8/27/1957,Basic,2023-11-30
155713,White,7/3/2009,Platinum,2023-12-01
755120,Other,7/6/1984,Platinum,2023-12-01
673358,Other,1/14/2014,Platinum,2023-12-01
884641,Other,2/20/1970,Basic,2023-12-02
793000,Asian,4/29/1951,Basic,2023-12-02
695485,White,11/26/1954,Gold,2023-12-02
832052,Black,8/21/1981,Basic,2023-12-03
968654,White,1/26/1981,Gold,2023-12-03
258885,Black,3/16/1943,Basic,2023-12-03
675810,Other,12/12/1968,Gold,2023-12-03
708191,White,6/30/1974,Basic,2023-12-04
181477,Black,8/22/1984,Gold,2023-12-04
800314,Other,7/20/1963,Basic,2023-12-05
500890,White,10/15/1958,Basic,2023-12-05
778767,White,6/5/1991,Basic,2023-12-05
219792,Black,4/21/2003,Gold,2023-12-05
192752,Asian,8/29/1981,Basic,2023-12-07
194837,Other,6/28/1962,Platinum,2023-12-07
256154,Asian,3/30/1957,Gold,2023-12-07
823045,Black,1/23/1990,Basic,2023-12-07
541236,White,4/13/1964,Gold,2023-12-09
615502,Asian,10/1/1973,Basic,2023-12-09
817709,Other,11/3/1988,Platinum,2023-12-09
743567,Other,9/19/1971,Platinum,2023-12-09
543527,Other,2/23/2013,Gold,2023-12-10
182172,Other,11/11/1940,Basic,2023-12-10
111501,Black,5/3/1999,Gold,2023-12-10
769158,Asian,3/9/1996,Basic,2023-12-10
220298,Asian,7/5/1978,Gold,2023-12-11
128635,Asian,6/16/2012,Basic,2023-12-12
537959,Black,10/23/2017,Gold,2023-12-12
970548,Asian,5/9/1996,Platinum,2023-12-12
932627,Other,12/1/1953,Platinum,2023-12-12
721246,Asian,6/24/2002,Gold,2023-12-13
725107,Black,5/7/1991,Gold,2023-12-13
158712,Black,11/27/1948,Gold,2023-12-13
314848,Asian,11/30/2015,Gold,2023-12-14
906366,Asian,5/15/2015,Gold,2023-12-14
868193,White,9/11/1948,Basic,2023-12-14
906500,Other,5/31/2007,Platinum,2023-12-14
855858,White,11/20/1959,Platinum,2023-12-15
119168,Asian,4/15/2015,Basic,2023-12-15
471152,Asian,9/29/1990,Platinum,2023-12-15
560261,Black,3/4/1949,Platinum,2023-12-15
194739,Other,3/29/2002,Basic,2023-12-15
271167,Asian,5/23/1944,Platinum,2023-12-15
722586,White,5/15/1942,Gold,2023-12-16
554998,Black,11/6/1997,Platinum,2023-12-16
305736,Asian,8/15/1978,Basic,2023-12-16
973596,Other,2/22/1971,Platinum,2023-12-16
864964,Black,1/8/1973,Platinum,2023-12-16
649104,Other,3/5/1946,Platinum,2023-12-17
421991,Other,9/9/1942,Gold,2023-12-17
716900,Asian,9/30/2003,Gold,2023-12-18
850734,White,2/20/1968,Platinum,2023-12-19
353144,Other,12/8/2019,Gold,2023-12-19
829567,Asian,5/17/2019,Gold,2023-12-19
657908,Asian,8/21/1973,Platinum,2023-12-19
187833,Other,4/8/1992,Basic,2023-12-20
354147,Black,4/14/2019,Gold,2023-12-20
694973,Other,10/24/2017,Platinum,2023-12-21
270858,Black,8/24/2004,Basic,2023-12-21
765708,Black,6/27/1982,Basic,2023-12-21
230685,Other,2/17/1961,Platinum,2023-12-21
931463,Other,8/30/1978,Platinum,2023-12-22
501352,Black,6/29/1971,Basic,2023-12-22
602470,Black,7/12/2018,Gold,2023-12-22
765987,Black,6/25/1989,Platinum,2023-12-22
607350,Other,5/12/1972,Gold,2023-12-22
135215,Other,2/18/1955,Platinum,2023-12-23
140408,Black,3/17/1955,Gold,2023-12-23
923843,White,12/11/2015,Gold,2023-12-24
594256,Other,3/6/1989,Gold,2023-12-25
858465,Black,7/2/1957,Basic,2023-12-25
669150,Black,10/27/1963,Platinum,2023-12-27
983979,White,5/4/1954,Basic,2023-12-27
947772,Asian,9/14/1964,Gold,2023-12-27
521080,Black,4/26/1999,Platinum,2023-12-27
779147,Other,7/28/1989,Basic,2023-12-27
163418,Other,10/24/2017,Platinum,2023-12-28
704688,Other,1/2/2017,Basic,2023-12-28
714000,White,11/8/1999,Platinum,2023-12-28
203942,Asian,8/27/2016,Gold,2023-12-28
679893,Asian,7/2/1951,Basic,2023-12-28
514598,Other,10/10/1971,Platinum,2023-12-28
592566,Asian,5/8/1989,Basic,2023-12-30
618817,Asian,12/22/1950,Gold,2023-12-30
